City,Longitude,Latitude,Region,Country,Address,AirQuality,WaterPollution
Hyderabad,17.385044,78.486671,Telangana,India,Hyderabad Telangana India ,31.4925373134,70.1070336391
Najran,17.5656036,44.2289441,Najran Province,Saudi Arabia,Najran Najran Province Saudi Arabia ,75,25
Vientiane,17.9757058,102.6331035,Vientiane Prefecture,Laos,Vientiane Vientiane Prefecture Laos ,23.4848484848,73.3333333333
Nouakchott,18.0735299,-15.9582372,,Mauritania,Nouakchott  Mauritania ,43.75,37.5
Santo Domingo,18.4860575,-69.9312117,,Dominican Republic,Santo Domingo  Dominican Republic ,32.5471698113,70.2830188679
Pune,18.5204303,73.8567437,Maharashtra,India,Pune Maharashtra India ,39.1078838174,71.8614718615
Port-au-Prince,18.594395,-72.3074326,Ouest,Haiti,Port-au-Prince Ouest Haiti ,12.5,68.75
Mumbai,19.0759837,72.8776559,Maharashtra,India,Mumbai Maharashtra India ,25.1602564103,75.3253796095
Mexico City,19.4326077,-99.133208,,Mexico,Mexico City  Mexico ,18.0790960452,69.5906432749
Guadalajara,20.6596988,-103.3496092,Jalisco,Mexico,Guadalajara Jalisco Mexico ,43.0769230769,64.5454545455
Valladolid,20.68964,-88.2022488,Castile and Leon,Spain,Valladolid Castile and Leon Spain ,70,41.6666666667
Merida,20.9673702,-89.5925857,Merida State,Venezuela,Merida Merida State Venezuela ,75,25
Jalgaon,21.0076578,75.5626039,Maharashtra,India,Jalgaon Maharashtra India ,33.75,54.6875
Hanoi,21.0277644,105.8341598,,Vietnam,Hanoi  Vietnam ,15.7024793388,77.3504273504
Nagpur,21.1458004,79.0881546,Maharashtra,India,Nagpur Maharashtra India ,46.6101694915,69.4444444444
Cancun,21.161908,-86.8515279,Quintana Roo,Mexico,Cancun Quintana Roo Mexico ,75,55
Surat,21.1702401,72.8310607,Gujarat,India,Surat Gujarat India ,46.359223301,61.9680851064
Honolulu,21.3069444,-157.8583333,Hawaii,United States of America,Honolulu Hawaii United States of America ,74.5833333333,41.5178571429
Mecca,21.3890824,39.8579118,Mecca Province,Saudi Arabia,Mecca Mecca Province Saudi Arabia ,28.5714285714,40.625
Maoming,21.6632899,110.92523,Guangdong,People's Republic of China,Maoming Guangdong People's Republic of China ,25,50
Rajkot,22.3038945,70.8021599,Gujarat,India,Rajkot Gujarat India ,43.6046511628,58.1081081081
Vadodara,22.3071588,73.1812187,Gujarat,India,Vadodara Gujarat India ,43.4579439252,65.9090909091
Jamnagar,22.4707019,70.05773,Gujarat,India,Jamnagar Gujarat India ,34.4827586207,58.3333333333
Shenzhen,22.5428599,114.05956,Guangdong,People's Republic of China,Shenzhen Guangdong People's Republic of China ,44.8717948718,67.0138888889
Kolkata,22.572646,88.363895,West Bengal,India,Kolkata West Bengal India ,25.9345794393,68.2692307692
Foshan,23.0218499,113.12192,Guangdong,People's Republic of China,Foshan Guangdong People's Republic of China ,28.5714285714,50
Ahmedabad,23.022505,72.5713621,Gujarat,India,Ahmedabad Gujarat India ,32.962962963,66.9921875
Havana,23.1135925,-82.3665956,Havana Province,Cuba,Havana Havana Province Cuba ,46.6666666667,50
Guangzhou,23.1290799,113.26436,Guangdong,People's Republic of China,Guangzhou Guangdong People's Republic of China ,29.3269230769,68.4782608696
Gandhinagar,23.2156354,72.6369415,Gujarat,India,Gandhinagar Gujarat India ,87.9032258065,50
Durgapur,23.5204443,87.3119227,West Bengal,India,Durgapur West Bengal India ,12.5,50
Jieyang,23.5497199,116.37271,Guangdong,People's Republic of China,Jieyang Guangdong People's Republic of China ,12.5,50
Muscat,23.5880307,58.3828717,Muscat Governorate,Oman,Muscat Muscat Governorate Oman ,65.5737704918,31.7307692308
Dhaka,23.810332,90.4125181,Dhaka Division,Bangladesh,Dhaka Dhaka Division Bangladesh ,14.9681528662,78.2534246575
Aswan,24.088938,32.8998293,Aswan Governorate,Egypt,Aswan Aswan Governorate Egypt ,75,25
Liuzhou,24.3255257,109.4154583,Guangxi,People's Republic of China,Liuzhou Guangxi People's Republic of China ,0,50
Abu Dhabi,24.453884,54.3773438,Emirate of Abu Dhabi,United Arab Emirates,Abu Dhabi Emirate of Abu Dhabi United Arab Emirates ,55.9829059829,37.9901960784
Medina,24.5246542,39.5691841,Medina Province,Saudi Arabia,Medina Medina Province Saudi Arabia ,20,66.6666666667
Riyadh,24.7135517,46.6752957,Riyadh Province,Saudi Arabia,Riyadh Riyadh Province Saudi Arabia ,33.6956521739,44.5736434109
Karachi,24.8607343,67.0011364,Sindh,Pakistan,Karachi Sindh Pakistan ,21.9696969697,83.1117021277
Taipei,25.0329636,121.5654268,,Taiwan,Taipei  Taiwan ,52.479338843,44.8717948718
